searchDate,flightDate,totalFare
2022-04-17,2022-06-01,272.6
2022-04-17,2022-06-01,281.6
2022-04-17,2022-06-01,281.6
2022-04-17,2022-06-01,281.6
2022-04-17,2022-06-01,328.6
2022-04-17,2022-06-01,328.6
2022-04-17,2022-06-01,328.6
2022-04-17,2022-06-01,328.6
2022-04-17,2022-06-01,337.6
2022-04-17,2022-06-01,337.6
2022-04-17,2022-06-01,337.6
2022-04-17,2022-06-01,337.6
2022-04-17,2022-06-01,337.6
2022-04-17,2022-06-01,337.6
2022-04-17,2022-06-01,378.6
2022-04-17,2022-06-01,406.6
2022-04-17,2022-06-01,449.35
2022-04-17,2022-06-01,498.6
2022-04-17,2022-06-01,498.6
2022-04-17,2022-06-01,498.6
2022-04-17,2022-06-01,507.6
2022-04-17,2022-06-02,281.6
2022-04-17,2022-06-02,281.6
2022-04-17,2022-06-02,281.6
2022-04-17,2022-06-02,328.6
2022-04-17,2022-06-02,328.6
2022-04-17,2022-06-02,337.1
2022-04-17,2022-06-02,337.6
2022-04-17,2022-06-02,337.6
2022-04-17,2022-06-02,337.6
2022-04-17,2022-06-02,337.6
2022-04-17,2022-06-02,406.6
2022-04-17,2022-06-02,406.6
2022-04-17,2022-06-02,406.6
2022-04-17,2022-06-02,406.6
2022-04-17,2022-06-02,415.6
2022-04-17,2022-06-02,449.35
2022-04-17,2022-06-02,498.6
2022-04-17,2022-06-02,498.6
2022-04-17,2022-06-02,498.6
2022-04-17,2022-06-02,501.6
2022-04-17,2022-06-03,272.6
2022-04-17,2022-06-03,272.6
2022-04-17,2022-06-03,283.35
2022-04-17,2022-06-03,319.35
2022-04-17,2022-06-03,319.35
2022-04-17,2022-06-03,328.6
2022-04-17,2022-06-03,337.6
2022-04-17,2022-06-03,337.6
2022-04-17,2022-06-03,337.6
2022-04-17,2022-06-03,361.6
2022-04-17,2022-06-03,378.6
2022-04-17,2022-06-03,406.6
2022-04-17,2022-06-03,406.6
2022-04-17,2022-06-03,415.6
2022-04-17,2022-06-03,415.6
2022-04-17,2022-06-03,451.1
2022-04-17,2022-06-03,452.6
2022-04-17,2022-06-03,452.6
2022-04-17,2022-06-03,498.6
2022-04-17,2022-06-03,498.6
2022-04-17,2022-06-03,498.6
2022-04-17,2022-06-03,498.6
2022-04-17,2022-06-03,543.6
2022-04-17,2022-06-03,672.6
2022-04-17,2022-06-04,272.6
2022-04-17,2022-06-04,281.6
2022-04-17,2022-06-04,319.35
2022-04-17,2022-06-04,341.61
2022-04-17,2022-06-04,348.6
2022-04-17,2022-06-04,357.6
2022-04-17,2022-06-04,357.6
2022-04-17,2022-06-04,357.6
2022-04-17,2022-06-04,359.35
2022-04-17,2022-06-04,406.6
2022-04-17,2022-06-04,406.6
2022-04-17,2022-06-04,406.6
2022-04-17,2022-06-04,406.6
2022-04-17,2022-06-04,407.1
2022-04-17,2022-06-04,415.6
2022-04-17,2022-06-04,415.6
2022-04-17,2022-06-04,415.6
2022-04-17,2022-06-04,437.21
2022-04-17,2022-06-04,443.22
2022-04-17,2022-06-04,482.6
2022-04-17,2022-06-04,482.6
2022-04-17,2022-06-04,482.6
2022-04-17,2022-06-04,573.6
2022-04-17,2022-06-04,623.6
2022-04-17,2022-06-04,623.6
2022-04-17,2022-06-04,623.6
2022-04-17,2022-06-05,348.6
2022-04-17,2022-06-05,348.6
2022-04-17,2022-06-05,348.6
2022-04-17,2022-06-05,348.6
2022-04-17,2022-06-05,357.6
2022-04-17,2022-06-05,359.35
2022-04-17,2022-06-05,359.35
2022-04-17,2022-06-05,406.6
2022-04-17,2022-06-05,406.6
2022-04-17,2022-06-05,406.6
2022-04-17,2022-06-05,417.1
2022-04-17,2022-06-05,418.6
2022-04-17,2022-06-05,449.35
2022-04-17,2022-06-05,449.71
2022-04-17,2022-06-05,492.6
2022-04-17,2022-06-05,498.6
2022-04-17,2022-06-05,498.6
2022-04-17,2022-06-05,581.6
2022-04-17,2022-06-06,271.6
2022-04-17,2022-06-06,281.6
2022-04-17,2022-06-06,281.6
2022-04-17,2022-06-06,281.6
2022-04-17,2022-06-06,281.6
2022-04-17,2022-06-06,281.6
2022-04-17,2022-06-06,281.6
2022-04-17,2022-06-06,357.6
2022-04-17,2022-06-06,357.6
2022-04-17,2022-06-06,357.6
2022-04-17,2022-06-06,357.6
2022-04-17,2022-06-06,357.6
2022-04-17,2022-06-06,357.6
2022-04-17,2022-06-06,359.35
2022-04-17,2022-06-06,402.1
2022-04-17,2022-06-06,406.6
2022-04-17,2022-06-06,406.6
2022-04-17,2022-06-06,406.6
2022-04-17,2022-06-06,406.6
2022-04-17,2022-06-06,406.6
2022-04-17,2022-06-06,414.1
2022-04-17,2022-06-06,415.6
2022-04-17,2022-06-06,415.6
2022-04-17,2022-06-06,415.6
2022-04-17,2022-06-06,449.35
2022-04-17,2022-06-06,477.61
2022-04-17,2022-06-06,477.61
2022-04-17,2022-06-06,477.61
2022-04-17,2022-06-06,491.61
2022-04-17,2022-06-06,498.6
2022-04-17,2022-06-06,498.6
2022-04-17,2022-06-06,498.6
2022-04-17,2022-06-06,498.6
2022-04-17,2022-06-06,506.1
2022-04-17,2022-06-06,507.6
2022-04-17,2022-06-07,272.6
2022-04-17,2022-06-07,272.6
2022-04-17,2022-06-07,272.6
2022-04-17,2022-06-07,281.6
2022-04-17,2022-06-07,281.6
2022-04-17,2022-06-07,281.6
2022-04-17,2022-06-07,281.6
2022-04-17,2022-06-07,281.6
2022-04-17,2022-06-07,311.6
2022-04-17,2022-06-07,312.21
2022-04-17,2022-06-07,319.35
2022-04-17,2022-06-07,328.6
2022-04-17,2022-06-07,328.6
2022-04-17,2022-06-07,328.6
2022-04-17,2022-06-07,328.6
2022-04-17,2022-06-07,337.6
2022-04-17,2022-06-07,337.6
2022-04-17,2022-06-07,337.6
2022-04-17,2022-06-07,359.35
2022-04-17,2022-06-07,377.1
2022-04-17,2022-06-07,378.6
2022-04-17,2022-06-07,378.6
2022-04-17,2022-06-07,378.6
2022-04-17,2022-06-07,378.6
2022-04-17,2022-06-07,498.6
2022-04-17,2022-06-07,623.6
2022-04-17,2022-06-08,272.6
2022-04-17,2022-06-08,281.6
2022-04-17,2022-06-08,281.6
2022-04-17,2022-06-08,282.2
2022-04-17,2022-06-08,328.6
2022-04-17,2022-06-08,328.6
2022-04-17,2022-06-08,337.6
2022-04-17,2022-06-08,337.6
2022-04-17,2022-06-08,337.6
2022-04-17,2022-06-08,337.6
2022-04-17,2022-06-08,337.6
2022-04-17,2022-06-08,337.6
2022-04-17,2022-06-08,337.6
2022-04-17,2022-06-08,377.1
