flightDate_month_day,is_weekend,is_public_holiday,days_from_summer_start,day_of_month,1 days to departure,2 days to departure,3 days to departure,4 days to departure,5 days to departure,6 days to departure,7 days to departure,8 days to departure,9 days to departure,10 days to departure,11 days to departure,12 days to departure,13 days to departure,14 days to departure,15 days to departure,16 days to departure,17 days to departure,18 days to departure,19 days to departure,20 days to departure,21 days to departure,22 days to departure,23 days to departure,24 days to departure,25 days to departure,26 days to departure,27 days to departure,28 days to departure,29 days to departure,30 days to departure,31 days to departure,32 days to departure,33 days to departure,34 days to departure,35 days to departure,36 days to departure,37 days to departure,38 days to departure,39 days to departure,40 days to departure,41 days to departure,42 days to departure,43 days to departure,44 days to departure,45 days to departure,46 days to departure,47 days to departure,48 days to departure,49 days to departure,50 days to departure,51 days to departure,52 days to departure,53 days to departure,54 days to departure,55 days to departure,56 days to departure,57 days to departure,58 days to departure,59 days to departure,60 days to departure,flight_day_of_week,flight_month
07-02,0.08873845808892468,0.0,0.9761230389781714,0.17747691617784936,640.8234615384615,549.7565625,1307.4363636363635,1123.4132142857143,623.4613333333333,632.7267857142857,674.0619230769231,651.631724137931,653.5753571428571,724.040909090909,744.2363157894737,764.0411764705883,791.7482352941176,780.4882352941177,789.74,686.5971428571429,755.3791304347826,761.281,761.7065,728.3052173913044,544.8743478260869,489.3045,516.4236,517.4833333333333,512.7442857142858,513.9722398589066,515.2001940035274,516.4281481481482,494.6272727272728,542.385,538.8408641975309,535.2967283950617,531.7525925925926,533.2448,505.73285714285714,500.8119230769231,485.01740740740746,475.9726086956522,476.2403502415459,476.50809178743964,476.77583333333337,456.92538461538464,459.8369230769231,462.7484615384616,465.66,466.5652857142857,467.4705714285715,468.37585714285717,469.2811428571429,470.1864285714286,457.8721428571429,462.3398285714286,466.8075142857143,471.27520000000004,482.408064516129,486.0611111111111,488.032,482.32481481481483,474.98740740740743,467.65,0.0739487150741039,0.04840279532123164
08-17,0.0,0.0,0.9582178781747641,0.2857842794556314,568.1555555555556,488.81212121212127,449.7515151515152,451.06875,477.428947368421,459.76240000000007,453.4154166666667,337.51352941176475,322.57913043478266,326.8796296296296,343.85125,348.4469230769231,493.88678571428574,523.87,571.7063157894737,608.105,607.6046153846154,625.9383333333334,529.9486206896552,585.1039285714286,491.95222222222225,533.3864705882353,474.49000000000007,551.3811111111112,542.8464864864865,536.21375,411.9085185185185,404.84962962962965,419.87607142857144,409.6835714285714,398.8046428571429,432.5183333333334,379.344,403.78285714285715,405.4243333333333,403.21103448275863,404.91192307692313,405.4971428571429,374.64,382.08518518518525,388.0111111111112,386.5111111111112,450.541245210728,514.5713793103448,517.5423333333333,487.14000000000004,490.2540740740741,488.6771428571429,474.5656666666667,607.0481481481481,528.4048148148148,527.4933333333333,537.6046153846154,534.1806730769231,530.7567307692308,527.3327884615385,523.9088461538462,520.2562422634836,516.6036383731212,512.9510344827586,0.0056036133226594394,0.010697807252349839
06-10,0.0,0.0,-0.7388525606175759,0.6716841460159781,818.8483333333334,1485.2691666666667,1157.5066666666667,1681.2006666666668,1033.9634782608696,2016.611111111111,1245.3300000000002,818.8777777777777,707.1294117647059,649.5740000000001,606.3425,641.4300000000001,647.48125,655.1711538461539,685.0213043478261,487.82413793103444,514.736597004528,541.6490560780215,568.5615151515151,606.9020689655173,610.74,632.9928571428571,653.0875,639.3710784313726,625.6546568627451,611.9382352941176,598.2218137254902,584.5053921568627,570.7889705882353,557.0725490196078,543.3561274509804,529.6397058823529,545.1750000000001,562.3033333333334,513.4428571428572,519.9710810810811,580.9300000000001,530.110625,563.7776923076924,571.7569565217391,556.8930769230769,540.6274074074074,524.4632,461.20227272727277,454.7645234604106,448.32677419354843,439.2883870967742,430.25,429.3842424242424,431.67678571428576,428.9108928571429,426.14500000000004,421.5110483870968,416.87709677419355,416.87709677419355,416.87709677419355,416.87709677419355,416.87709677419355,416.87709677419355,416.87709677419355,0.04477894306773187,0.030531097546180823
08-10,0.0,0.0,0.9804833732406959,0.19609667464813918,467.03366666666665,430.74093750000003,428.37303030303036,429.2215151515152,462.8717142857143,377.0676923076923,378.9983333333333,424.28607142857146,359.33866666666665,378.2632,439.2232,419.10333333333335,476.6519047619048,347.63142857142856,419.139,407.5295,329.18095238095236,318.814,413.04655172413794,435.05058823529413,396.60125,392.9522580645161,404.52000000000004,411.80074074074076,447.17129032258066,467.1,413.57733333333334,402.90909090909093,514.6060606060606,442.90000000000003,442.24375000000003,486.44375,489.7875,521.0121212121212,469.74242424242425,558.0283333333333,646.3142424242424,511.66200000000003,619.9591428571429,502.6178125,623.3169696969696,496.5395454545455,574.4245454545454,529.2366666666667,514.4865517241379,520.3971875,519.8124242424243,516.9981476050832,514.183870967742,510.8006060606061,502.43196969696976,494.06333333333333,507.38176470588235,503.78205882352944,505.3996875,492.40909090909093,488.20599999999996,495.3528125,494.44147058823535,516.0870967741936,0.006536555821604639,0.012478879295790675
06-06,0.0,0.0,-0.9281094107931644,0.3712437643172658,558.0557142857143,550.206,530.7952380952381,549.8484615384616,556.4048387096774,531.6887096774194,508.5869565217391,561.9833333333333,572.0666666666666,590.3090909090909,675.2442307692307,504.93176470588236,510.76545454545453,515.4147826086956,519.9459090909091,514.2758333333334,503.56454545454545,501.04400000000004,497.83500000000004,481.2492222222223,464.6634444444445,448.0776666666667,431.4918888888889,414.90611111111116,429.31559895833334,443.7250868055556,458.1345746527778,472.5440625,469.70000000000005,477.4222222222222,471.4442307692308,467.3611111111111,467.1368965517242,449.40838709677416,461.3013333333334,454.67034482758623,473.54085714285713,459.8228571428572,442.1876666666667,425.6018181818182,420.3187469287469,415.0356756756757,417.17683783783787,419.31800000000004,425.0626470588236,408.3018421052632,402.36686699857756,396.43189189189195,393.01647058823534,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,398.4011428571429,0.0,0.02812452759979286
07-13,0.0,0.0,0.8606572809653495,0.5085702114795247,488.79117647058825,380.98857142857145,402.90526315789475,425.9540540540541,390.7138888888889,458.7193548387097,609.2352941176471,648.3944117647059,657.3558823529411,622.0314285714285,621.245,670.6058333333334,683.534,771.4848484848485,769.571,630.2611538461539,628.4007407407407,664.355,672.5861904761905,625.2769230769231,621.7825,686.6305263157894,669.0521052631578,610.884,597.8482608695653,645.1295238095239,594.5119230769232,575.7533333333334,576.734705882353,580.2514814814815,573.5651724137931,584.932962962963,432.10791666666665,407.6963636363636,407.84358181818186,407.99080000000004,406.1733904761905,404.35598095238095,402.5385714285714,450.3016666666667,441.7804545454546,425.91530303030305,410.0501515151516,394.18500000000006,416.31944444444446,428.5392592592593,404.8777272727273,406.0037037037037,408.4847826086957,409.45541062801937,410.42603864734303,411.3966666666667,420.9458064516129,395.0290883590463,369.1123702664797,343.19565217391306,343.19565217391306,343.19565217391306,343.19565217391306,343.19565217391306,0.013040261832808327,0.021338610271868168
07-18,0.0,0.0,0.8319327731092437,0.5546218487394958,494.55,427.01379310344834,393.85925925925926,410.0,415.1,428.5110714285715,474.8522222222222,523.6338095238095,563.4420833333334,488.24705882352947,512.8655172413793,594.8700166852058,676.8745161290323,567.6384615384616,561.2896551724137,544.7741935483871,591.496,575.4657575757575,696.7927999999999,664.867037037037,595.8138461538462,589.3762962962963,570.1572413793103,595.9877777777778,603.4733333333334,613.1833333333333,572.6669230769231,637.0268421052632,619.7480952380953,602.4470833333334,609.01,579.1191666666667,591.1115384615384,565.0393750000001,566.0496666666667,587.4533333333334,571.0148,424.0571428571429,432.2075,432.87441666666666,433.54133333333334,434.20824999999996,434.87516666666664,435.5420833333333,437.7769230769231,437.03285714285715,431.4235047619048,425.8141523809524,420.20480000000003,421.40448333333336,422.6041666666667,414.2480952380953,444.7553125,412.68600000000004,416.44483333333335,420.2036666666667,423.96250000000003,413.85535714285714,413.85535714285714,413.85535714285714,0.0,0.01680672268907563
06-17,0.0,0.0,-0.22879526957959448,0.9723798957132765,1245.606,1181.7517647058824,1044.835,913.4227586206896,1004.4031818181818,987.3194736842105,1011.9540000000001,758.7505,632.6976,607.6692857142858,587.04875,567.6925,551.9508000000001,576.3227027027027,611.4810344827587,574.0662962962963,559.5600000000001,570.4369565217391,604.9476,614.2589473684211,611.1078260869565,611.176,562.4469565217391,565.6522567287785,568.8575569358178,572.0628571428572,551.3224137931035,563.7115625,580.4723076923077,555.3834782608695,549.2744968944099,543.1655155279503,537.0565341614907,530.9475527950311,524.8385714285715,526.0166666666668,532.030987654321,538.0453086419753,544.0596296296296,531.1157692307693,530.6518518518519,550.33,535.4034615384616,523.7133333333334,509.39724137931034,505.47424242424245,489.7832142857143,510.91952380952387,534.721052631579,499.87551724137927,459.56689655172414,450.96388945233264,442.3608823529412,454.4478605313093,466.53483870967744,461.13193548387096,450.9376470588236,442.6922718052739,434.4468965517242,434.4468965517242,0.03813254492993241,0.025999462452226643
07-16,0.03365283251981038,0.0,0.8413208129952595,0.5384453203169661,415.5868571428572,357.1192307692308,372.62851851851855,376.4903703703704,425.6303030303031,424.175,413.4486956521739,359.5117647058824,453.018076923077,503.3705882352942,583.7,608.6741935483872,573.9730000000001,552.8388235294118,562.5839393939394,605.3458333333334,744.7611111111111,713.6996666666666,612.899,617.0751612903226,580.2909999999999,588.86596875,597.4409375,570.5087096774193,566.7984375,569.2212903225807,593.6236,589.5,602.1576923076923,566.1121212121212,574.9513333333333,565.2148387096775,606.6083333333333,585.1346666666667,576.0031250000001,472.5711764705882,485.2357575757576,481.4224681295716,477.6091786833856,473.79588923719956,469.98259979101357,466.1693103448276,479.8161538461539,474.9646153846154,454.63615384615383,434.3076923076923,413.97923076923075,432.45476190476194,426.8177777777778,424.44192307692305,441.9768,453.25200000000007,461.77778494623664,470.30356989247315,478.8293548387097,493.3920689655173,467.0919965942955,440.7919242230737,414.4918518518519,414.4918518518519,0.028044027099841985,0.018356090465351117
07-05,0.0,0.0,0.9410495826472367,0.3360891366597274,499.125,506.34744186046515,523.7619512195122,499.46625000000006,487.94457142857146,822.7363636363636,828.7242424242424,612.5416666666666,570.8965517241379,686.205,598.6896551724138,616.2589655172414,637.2079166666666,594.27,627.0652173913044,624.5869565217391,594.3114285714286,632.2007692307693,599.1,620.8536666666666,589.7460714285714,576.7316129032258,572.16,510.95875,438.5389655172414,440.1879310344828,445.0627988505747,449.9376666666667,475.64000000000004,501.34233333333333,527.0446666666667,536.2268965517242,508.8892307692308,500.26343779677114,491.63764482431145,483.0118518518518,491.03583333333336,456.36041666666665,455.9852,448.63777777777784,446.1153333333334,443.5928888888889,441.07044444444443,438.548,444.9166666666667,438.5670202020202,432.21737373737375,425.8677272727273,426.6800818181818,427.4924363636364,428.3047909090909,429.1171454545455,429.9295,330.46285714285716,363.6002380952381,396.73761904761903,429.875,421.1574074074074,424.5835714285714,432.105,0.011202971221990913,0.03666426945378844
06-08,0.0,0.0,-0.8510782421527938,0.5237404567094116,1507.8604545454546,1520.7839130434782,1378.5872413793104,1250.3557142857144,1721.8513636363639,1427.6000000000001,1417.504,1051.2691304347825,774.0631818181818,878.0111111111111,866.7339999999999,724.7242857142857,793.6547999999999,469.1588888888889,598.827,607.7145,616.6020000000001,633.1463636363637,549.1077272727273,497.51000000000005,516.841304347826,516.7560089955023,516.6707136431784,516.5854182908546,516.5001229385307,516.4148275862069,464.5216666666667,459.89186379928316,455.26206093189967,450.6322580645161,478.44800000000004,463.67241379310343,465.25,462.51240000000007,453.125,414.2851515151515,449.3232142857143,453.1,443.5351851851852,434.1192307692308,426.37303030303036,395.4485294117647,393.25970588235293,391.07088235294117,392.1754411764706,393.28,404.75178571428575,381.74032258064517,374.5643612903226,367.38840000000005,355.95517241379315,362.764,362.764,362.764,362.764,362.764,362.764,362.764,362.764,362.764,0.021822519029558812,0.02975798049485293
